"name","type","no.of.forces","number","percent_within_type","percent_overall"
"Biobase","LGL",0,26399,24.8664789050799,4.02366124366326
"Biobase","LGL",1,79764,75.1335210949201,12.1574042743875
"Biobase","INT",0,398,5.68490215683474,0.0606620392809567
"Biobase","INT",1,6603,94.3150978431653,1.00641066676421
"Biobase","REAL",0,430,7.73659589780497,0.0655393891728929
"Biobase","REAL",1,5128,92.263404102195,0.781595320182779
"Biobase","STR",0,22215,31.6128756830601,3.3859477452926
"Biobase","STR",1,48057,68.3871243169399,7.32471261739934
"Biobase","VEC",0,1878,64.7139903514817,0.286239471783007
"Biobase","VEC",1,1024,35.2860096485183,0.156075196541959
"Biobase","BCODE",0,47653,9.41690034523167,7.26313607501364
"Biobase","BCODE",1,458384,90.5830996547683,69.8655985270403
"Biobase","S4",0,0,0,0
"Biobase","S4",1,13,100,0.00198142339359909
"Biostrings","NIL",0,292,2.56185295665906,0.0285168224837566
"Biostrings","NIL",1,11106,97.4381470433409,1.08461585789247
"Biostrings","SYM",0,22634,78.4622317745346,2.21044438389503
"Biostrings","SYM",1,6213,21.5377682254654,0.606763760587603
"Biostrings","CLOS",0,0,0,0
"Biostrings","CLOS",1,951,100,0.0928749937741526
"Biostrings","ENV",0,0,0,0
"Biostrings","ENV",1,319,100,0.0311536519599944
"Biostrings","PROM",0,4437,93.4695597219296,0.43331897726174
"Biostrings","PROM",1,310,6.53044027807036,0.0302747088012485
"Biostrings","LANG",0,149940,82.8265084599705,14.6431930247071
"Biostrings","LANG",1,31089,17.1734915400295,3.03616265136134
"Biostrings","LGL",0,18647,13.8052298033641,1.82107256457058
"Biostrings","LGL",1,116425,86.1947701966359,11.3701063618882
"Biostrings","INT",0,9,0.126778419495704,0.000878943158745924
"Biostrings","INT",1,7090,99.8732215805043,0.692411888389844
"Biostrings","REAL",0,0,0,0
"Biostrings","REAL",1,2122,100,0.207235264762095
"Biostrings","STR",0,21004,16.8471373341675,2.05125801181104
"Biostrings","STR",1,103670,83.1528626658325,10.1244485852433
"Biostrings","VEC",0,204,59.1304347826087,0.0199227115982409
"Biostrings","VEC",1,141,40.8695652173913,0.0137701094870195
"Biostrings","BCODE",0,66255,8.17192179228481,6.47048655363458
"Biostrings","BCODE",1,744509,91.8280782077152,72.709010241641
"Biostrings","S4",0,1,9.09090909090909,9.76603509717693e-05
"Biostrings","S4",1,10,90.9090909090909,0.000976603509717693
"caschrono","NIL",0,572,7.89510006901311,0.083439090922352
"caschrono","NIL",1,6673,92.1048999309869,0.973407436581915
"caschrono","SYM",0,14401,88.873117748704,2.10071039925313
"caschrono","SYM",1,1803,11.126882251296,0.263008183449302
"caschrono","CLOS",0,0,0,0
"caschrono","CLOS",1,426,100,0.0621417005820314
"caschrono","ENV",0,0,0,0
"caschrono","ENV",1,94,100,0.0137120184382886
"caschrono","PROM",0,3738,80.3525365434222,0.545271541726839
"caschrono","PROM",1,914,19.6474634565778,0.13332749843187
"caschrono","LANG",0,103937,83.0399872168737,15.1615538342596
"caschrono","LANG",1,21228,16.9600127831263,3.09658220646799
"caschrono","LGL",0,12368,14.0978000683917,1.804151532391
"caschrono","LGL",1,75362,85.9021999316084,10.9932461015565
"caschrono","INT",0,0,0,0
"caschrono","INT",1,4204,100,0.613248143771972
"caschrono","REAL",0,101,1.69235924932976,0.0147331261943314
"caschrono","REAL",1,5867,98.3076407506702,0.855834172100419
"caschrono","STR",0,9722,13.3972742431133,1.41817280060683
"caschrono","STR",1,62845,86.6027257568867,9.16735956121541
"caschrono","VEC",0,531,84.8242811501597,0.077458316922673
"caschrono","VEC",1,95,15.1757188498403,0.0138578909748662
"caschrono","BCODE",0,40961,7.48860100406232,5.97508497075256
"caschrono","BCODE",1,506017,92.5113989959377,73.8139833413563
"colorspace","NIL",0,818,7.89880262649672,0.0628743251386617
"colorspace","NIL",1,9538,92.1011973735033,0.733123854734175
"colorspace","SYM",0,97988,90.6012778193855,7.53169849839509
"colorspace","SYM",1,10165,9.3987221806145,0.781317255543394
"colorspace","CLOS",0,0,0,0
"colorspace","CLOS",1,156,100,0.0119907025936812
"colorspace","ENV",0,0,0,0
"colorspace","ENV",1,1215,100,0.0933891259700171
"colorspace","PROM",0,13148,96.9616519174041,1.01060101090846
