"name","actual_distance","number","percent"
"lmtest","16",81,0.0813008130081301
"lmtest","17",21,0.0210779885576634
"lmtest","18",78,0.0782896717856068
"lmtest","19",118,0.118438221419251
"lmtest","20",39,0.0391448358928034
"lmtest",">20",845,0.84813811101074
"mvtnorm",NA,51505,29.4819690898683
"mvtnorm","-1",NA,NA
"mvtnorm","0",129000,73.8408700629651
"mvtnorm","1",26095,14.9370349170006
"mvtnorm","2",11904,6.81396680022896
"mvtnorm","3",1360,0.778477389811105
"mvtnorm","4",1830,1.0475100171723
"mvtnorm","5",276,0.157985117344018
"mvtnorm","6",82,0.046937607326846
"mvtnorm","7",43,0.0246136233543217
"mvtnorm","8",16,0.00915855752718947
"mvtnorm","9",64,0.0366342301087579
"mvtnorm","10",61,0.0349170005724098
"mvtnorm","11",43,0.0246136233543217
"mvtnorm","12",18,0.0103033772180882
"mvtnorm","13",91,0.0520892959358901
"mvtnorm","14",33,0.0188895248998283
"mvtnorm","15",44,0.025186033199771
"mvtnorm","16",64,0.0366342301087579
"mvtnorm","17",164,0.093875214653692
"mvtnorm","18",139,0.0795649685174585
"mvtnorm","19",152,0.0870062965082999
"mvtnorm","20",62,0.0354894104178592
"mvtnorm",">20",3158,1.80767029192902
"rivr",NA,14731,14.5128715407426
"rivr","-1",33,0.0325113543442066
"rivr","0",75478,74.3603637330916
"rivr","1",21045,20.7333773386008
"rivr","2",1850,1.82260622838734
"rivr","3",502,0.494566663054294
"rivr","4",121,0.119208299262091
"rivr","5",88,0.0866969449178842
"rivr","6",169,0.166497541944573
"rivr","7",69,0.0679782863560683
"rivr","8",27,0.0266001990088963
"rivr","9",1263,1.24429819808282
"rivr","10",21,0.020689043673586
"rivr","11",21,0.020689043673586
"rivr","12",18,0.0177334660059309
"rivr","13",18,0.0177334660059309
"rivr","14",66,0.0650227086884131
"rivr","15",32,0.0315261617883215
"rivr","16",156,0.153690038718067
"rivr","17",62,0.061081938464873
"rivr","18",30,0.0295557766765514
"rivr","19",95,0.0935932928090795
"rivr","20",79,0.0778302119149188
"rivr",">20",257,0.253194486862457
"stringr",NA,17493,31.0027647809443
"stringr","-1",NA,NA
"stringr","0",41774,74.0358712604565
"stringr","1",7280,12.9023110733021
"stringr","2",4598,8.14901460371473
"stringr","3",554,0.981851694314476
"stringr","4",697,1.23528994754005
"stringr","5",200,0.354459095420389
"stringr","6",64,0.113426910534524
"stringr","7",50,0.0886147738550971
"stringr","8",44,0.0779810009924855
"stringr","9",12,0.0212675457252233
"stringr","10",16,0.0283567276336311
"stringr","11",8,0.0141783638168155
"stringr","12",7,0.0124060683397136
"stringr","13",5,0.00886147738550971
"stringr","14",9,0.0159506592939175
"stringr","15",6,0.0106337728626117
"stringr","16",12,0.0212675457252233
"stringr","17",10,0.0177229547710194
"stringr","18",2,0.00354459095420388
"stringr","19",9,0.0159506592939175
"stringr","20",2,0.00354459095420388
"stringr",">20",1063,1.88395009215936
"tm",NA,39188,14.9717093223609
"tm","-1",21,0.0080230145904251
"tm","0",185840,70.9998586421239
"tm","1",49966,19.0894260488181
"tm","2",13467,5.14504464234547
"tm","3",6386,2.43976053211689
"tm","4",758,0.289592621882963
"tm","5",665,0.254062128696795
"tm","6",2678,1.02312538443612
"tm","7",113,0.0431714594627637
"tm","8",173,0.0660943582925497
"tm","9",446,0.170393547968076
"tm","10",81,0.0309459134202111
"tm","11",120,0.045845797659572
"tm","12",176,0.067240503234039
"tm","13",159,0.0607456818989329
"tm","14",77,0.0294177201648921
"tm","15",185,0.0706789380585069
"tm","16",325,0.124165701994674
"tm","17",44,0.0168101258085097
"tm","18",6,0.0022922898829786
"tm","19",26,0.00993325615957394
"tm","20",2,0.000764096627659534
"tm",">20",31,0.0118434977287228
