"name","types","number","percent"
"Biostrings","SYM→RAW",3,0.000229466917754467
"Biostrings","PROM→RAW",2,0.000152977945169645
"Biostrings","SYM→LANG",2,0.000152977945169645
"Biostrings","LANG→BUILTIN",1,7.64889725848224e-05
"Biostrings","LANG→RAW",1,7.64889725848224e-05
"Biostrings","S4→NA",1,7.64889725848224e-05
"Biostrings","SYM→SYM",1,7.64889725848224e-05
"caschrono","BCODE→STR",319141,36.6046574044656
"caschrono","LANG→NA",103937,11.9213083766985
"caschrono","BCODE→ENV",94829,10.8766440445072
"caschrono","LGL→LGL",75362,8.64382887599944
"caschrono","STR→STR",62845,7.2081609526311
"caschrono","BCODE→CLOS",48751,5.59161515795559
"caschrono","BCODE→NA",41939,4.81029616027362
"caschrono","BCODE→VEC",15676,1.79799715320941
"caschrono","SYM→NA",14401,1.65175791039606
"caschrono","LGL→NA",12368,1.41857800401212
"caschrono","STR→NA",9722,1.11508856363242
"caschrono","LANG→STR",7053,0.80896108200982
"caschrono","NIL→NIL",6673,0.765376052779176
"caschrono","REAL→REAL",5867,0.672929911832074
"caschrono","BCODE→REAL",5692,0.652857858896909
"caschrono","LANG→ENV",5552,0.636800216548777
"caschrono","BCODE→LGL",4947,0.567408262115778
"caschrono","BCODE→INT",4228,0.484940798913586
"caschrono","INT→INT",4204,0.482188060225335
"caschrono","LANG→S4",4014,0.460395545610013
"caschrono","PROM→NA",3738,0.428739050695124
"caschrono","BCODE→BUILTIN",3250,0.37276669736735
"caschrono","BCODE→LANG",3025,0.346959772164995
"caschrono","BCODE→NIL",2495,0.286170126132781
"caschrono","BCODE→S4",1974,0.226412757108661
"caschrono","LANG→VEC",1555,0.178354527509609
"caschrono","LANG→INT",1066,0.122267476736491
"caschrono","LANG→CLOS",826,0.0947400898539787
"caschrono","BCODE→SYM",746,0.0855642942264747
"caschrono","PROM→LGL",693,0.0794853296232533
"caschrono","SYM→STR",633,0.0726034829026253
"caschrono","LANG→LANG",579,0.0664098208540601
"caschrono","NIL→NA",572,0.0656069387366535
"caschrono","VEC→NA",531,0.0609043434775577
"caschrono","SYM→CLOS",428,0.0490905066071463
"caschrono","CLOS→CLOS",426,0.0488611117164587
"caschrono","SYM→INT",292,0.0334916540403896
"caschrono","LANG→SYM",190,0.021792514615322
"caschrono","LANG→LGL",185,0.021219027388603
"caschrono","LANG→REAL",163,0.0186956835910394
"caschrono","SYM→ENV",155,0.017778104028289
"caschrono","BCODE→SPECIAL",154,0.0176634065829452
"caschrono","PROM→STR",143,0.0164017346841634
"caschrono","SYM→VEC",124,0.0142224832226312
"caschrono","REAL→NA",101,0.0115844419797238
"caschrono","VEC→VEC",95,0.010896257307661
"caschrono","ENV→ENV",94,0.0107815598623172
"caschrono","SYM→REAL",92,0.0105521649716296
"caschrono","BCODE→EXPR",62,0.00711124161131559
"caschrono","BCODE→LIST",55,0.00630835949390899
"caschrono","LANG→NIL",43,0.00493199014978339
"caschrono","SYM→SYM",43,0.00493199014978339
"caschrono","PROM→LANG",41,0.00470259525909579
"caschrono","SYM→LGL",25,0.002867436133595
