"name","no.of.force.orders","number","calls","percent","percent.calls"
"rivr","1",464,47439,51.9015659955257,33.9478034363573
"rivr","2",67,8141,7.49440715883669,5.82577768872414
"rivr","3",12,1848,1.34228187919463,1.32244652607324
"rivr","4",3,450,0.335570469798658,0.322024316413937
"rivr","5",1,229,0.111856823266219,0.163874596575092
"rivr","6",2,703,0.223713646532438,0.503073543197773
"rivr","8",1,311,0.111856823266219,0.222554583121632
"stringr","0",282,NA,40.4011461318052,NA
"stringr","1",349,18362,50,18.8094774689872
"stringr","2",47,8284,6.73352435530086,8.48587906290655
"stringr","3",13,1571,1.86246418338109,1.60928488747298
"stringr","4",4,217,0.573065902578797,0.222288237162086
"stringr","5",2,742,0.286532951289398,0.760082359328423
"stringr","6",1,364,0.143266475644699,0.37287059136866
"tm","0",362,NA,38.9666307857912,NA
"tm","1",459,120292,49.4079655543595,31.9839617549541
"tm","2",79,17171,8.5037674919268,4.56552894036442
"tm","3",16,4757,1.72228202368138,1.26481982233496
"tm","4",6,2571,0.645855758880517,0.683592971037035
"tm","5",5,1584,0.538213132400431,0.421163464069492
"tm","6",1,1327,0.107642626480086,0.352830755568318
"tm","8",1,828,0.107642626480086,0.220153628945416
