"name","strictness_rate","number","percent"
"dplyr","(40,50〉",32434,1.84728594088617
"dplyr","(50,60〉",45,0.00256298536535356
"dplyr","(60,70〉",16172,0.92107998507773
"dplyr","(70,80〉",3230,0.183965394002045
"dplyr","(80,90〉",153,0.00871415024220212
"dplyr","(90,100)",7,0.000398686612388332
"dplyr","100",466490,26.5690454018619
"dplyr",NA,1222215,69.6115368514579
"ggplot2","0",771,0.19422807565574
"ggplot2","(0,10〉",0,0
"ggplot2","(10,20〉",4,0.00100766835619061
"ggplot2","(20,30〉",7,0.00176341962333357
"ggplot2","(30,40〉",3670,0.924535716804885
"ggplot2","(40,50〉",13536,3.40994971734903
"ggplot2","(50,60〉",19,0.0047864246919054
"ggplot2","(60,70〉",2889,0.727788470258668
"ggplot2","(70,80〉",2939,0.740384324711051
"ggplot2","(80,90〉",57,0.0143592740757162
"ggplot2","(90,100)",46,0.011588186096192
"ggplot2","100",87883,22.1392295367749
"ggplot2",NA,285135,71.8303791856024
"grid","0",7609,0.388821720463295
"grid","(0,10〉",8,0.000408801914010561
"grid","(10,20〉",3305,0.168886290725613
"grid","(20,30〉",657,0.0335728571881174
"grid","(30,40〉",2802,0.143182870382199
"grid","(40,50〉",39141,2.00011446453592
"grid","(50,60〉",994,0.0507936378158123
"grid","(60,70〉",16700,0.853373995497047
"grid","(70,80〉",12796,0.653878661459893
"grid","(80,90〉",2453,0.125348886883488
"grid","(90,100)",836,0.0427198000141037
"grid","100",646498,33.0362024755
"grid",NA,1223139,62.5026955376205
"lmtest","0",729,0.419360776824133
"lmtest","(0,10〉",8,0.00460203870314549
"lmtest","(10,20〉",3,0.00172576451367956
"lmtest","(20,30〉",6,0.00345152902735912
"lmtest","(30,40〉",1635,0.94054165995536
"lmtest","(40,50〉",5683,3.26917324374698
"lmtest","(50,60〉",18,0.0103545870820774
"lmtest","(60,70〉",1343,0.77256724729055
"lmtest","(70,80〉",1457,0.838146298810373
"lmtest","(80,90〉",19,0.0109298419199705
"lmtest","(90,100)",10,0.00575254837893187
"lmtest","100",45731,26.3069789916933
"lmtest",NA,117194,67.4164154720541
"mvtnorm","0",874,0.275788948878069
"mvtnorm","(0,10〉",0,0
"mvtnorm","(10,20〉",0,0
"mvtnorm","(20,30〉",1,0.000315547996427997
"mvtnorm","(30,40〉",3909,1.23347711803704
"mvtnorm","(40,50〉",11384,3.59219839133631
"mvtnorm","(50,60〉",49,0.0154618518249718
"mvtnorm","(60,70〉",3410,1.07601866781947
"mvtnorm","(70,80〉",825,0.260327097053097
"mvtnorm","(80,90〉",215,0.0678428192320193
"mvtnorm","(90,100)",0,0
"mvtnorm","100",74884,23.6294961645141
"mvtnorm",NA,221358,69.8490733933085
"rivr","0",383,0.274078473747862
"rivr","(0,10〉",0,0
"rivr","(10,20〉",23,0.0164590206167123
"rivr","(20,30〉",49,0.0350648700095176
"rivr","(30,40〉",492,0.352079919279238
"rivr","(40,50〉",3226,2.30855654389191
"rivr","(50,60〉",23,0.0164590206167123
"rivr","(60,70〉",1815,1.29883140953621
"rivr","(70,80〉",1175,0.840841270636392
"rivr","(80,90〉",42,0.0300556028653008
"rivr","(90,100)",3,0.00214682877609291
"rivr","100",52273,37.407060204235
"rivr",NA,80237,57.4183668357891
"stringr","0",95,0.0973151268681943
"stringr","(0,10〉",0,0
"stringr","(10,20〉",0,0
"stringr","(20,30〉",6,0.00614621853904385
"stringr","(30,40〉",1405,1.43923950789277
"stringr","(40,50〉",4047,4.14562440458508
"stringr","(50,60〉",0,0
"stringr","(60,70〉",1304,1.33577816248553
"stringr","(70,80〉",326,0.333944540621383
"stringr","(80,90〉",55,0.056340336607902
"stringr","(90,100)",0,0
"stringr","100",22397,22.9428094364942
"stringr",NA,67986,69.6428022659059
"tm","0",862,0.229193753805494
"tm","(0,10〉",0,0
"tm","(10,20〉",182,0.0483912566039442
"tm","(20,30〉",297,0.0789681495130297
"tm","(30,40〉",1607,0.427278842651309
"tm","(40,50〉",9559,2.54160451580825
"tm","(50,60〉",954,0.253655268132762
"tm","(60,70〉",2569,0.683061198986442
"tm","(70,80〉",3273,0.870244960795106
"tm","(80,90〉",596,0.158468071076652
"tm","(90,100)",22,0.00584949255652072
"tm","100",129450,34.4189459746185
"tm",NA,226730,60.284338515452
